iter	RMSE
978	0.2699886858
979	0.2699741191
980	0.2699431912
981	0.269932905
982	0.2698871905
983	0.2698812732
984	0.2698126797
985	0.2697557379
986	0.2697062873
987	0.2696493976
988	0.2695660197
989	0.2695193686
990	0.269463601
991	0.2694249108
992	0.269400654
993	0.269364251
994	0.2693171125
995	0.2692631584
996	0.2692318178
997	0.2691806984
998	0.2691692204
999	0.2690794782
