item_no,description,unit,description_expanded,item_class,item_type
716-05.50,PAINTED PAVEMENT MARKINGS(8 LINE),L.F.,PAINTED PAVEMENT MARKINGS(8 LINE),Pavement Marking,Painted
716-05.51,PAINTED PAVEMENT MARKINGS(12 LINE),L.F.,PAINTED PAVEMENT MARKINGS(12 LINE),Pavement Marking,Painted
716-05.52,PAINTED PAVEMENT MARKING(AREA),S.F.,PAINTED PAVEMENT MARKING(AREA),Pavement Marking,Painted
716-05.64,RETRACING PAVEMENT MARKINGS - PAINTED(6 DOTTED LINE),L.F.,RETRACING PAVEMENT MARKINGS - PAINTED(6 DOTTED LINE),,Painted
716-05.69,PERFORMANCE BASED RETRACING PAINTED 4IN LINE,L.M.,PERFORMANCE BASED RETRACING PAINTED 4IN LINE,Pavement Marking,Painted
716-05.70,PERFORMANCE BASED RETRACING PAINTED 6IN LINE,L.M.,PERFORMANCE BASED RETRACING PAINTED 6IN LINE,Pavement Marking,Painted
716-05.71,PERFORMANCE BASED RETRACING PAINTED 8IN LINE,L.F.,PERFORMANCE BASED RETRACING PAINTED 8IN LINE,Pavement Marking,Painted
716-05.72,PERFORMANCE BASED RETRACING SPRAY THERMO 4IN,L.M.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 4IN,Pavement Marking,Plastic-Thermal
716-05.73,PERFORMANCE BASED RETRACING SPRAY THERMO 6IN,L.M.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 6IN,Pavement Marking,Plastic-Thermal
716-05.74,PERFORMANCE BASED RETRACING SPRAY THERMO 8IN,L.F.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 8IN,Pavement Marking,Plastic-Thermal
716-05.75,PERFORMANCE BASED RETRACING SPRAY THERMO 6IN DOTTED,L.F.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 6IN DOTTED,Pavement Marking,Plastic-Thermal
716-05.77,PERFORMANCE BASED RETRACING PAINTED 6IN DOTTED LINE,L.F.,PERFORMANCE BASED RETRACING PAINTED 6IN DOTTED LINE,Pavement Marking,Painted
716-05.79,PERFORMANCE BASED RETRACING SPRAY THERMO 12IN,L.M.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 12IN,Pavement Marking,Plastic-Thermal
716-05.80,PERFORMANCE BASED RETRACING SPRAY THERMO 8IN DOTTED,L.F.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 8IN DOTTED,Pavement Marking,Plastic-Thermal
716-05.81,PERFORMANCE BASED RETRACING SPRAY THERMO 12IN DOTTED,L.F.,PERFORMANCE BASED RETRACING SPRAY THERMOPLASTIC 12IN DOTTED,Pavement Marking,Plastic-Thermal
716-05.82,PERFORMANCE BASED RETRACING PAINTED 8IN DOTTED,L.F.,PERFORMANCE BASED RETRACING PAINTED 8IN DOTTED,Pavement Marking,Painted
716-06.01,PAINTED WORD PVMT MARK (           ),EACH,PAINTED WORD PAVEMENT MARK (           ),Pavement Marking,Painted
716-08.01,REMOVAL OF PAVEMENT MARKING (LINE),L.F.,REMOVAL OF PAVEMENT MARKING (LINE),Pavement Marking,Pavement Marking Misc.
716-08.02,REMOVAL OF PAVEMENT MARKING (8 BARRIER LINE),L.F.,REMOVAL OF PAVEMENT MARKING (8 BARRIER LINE),Pavement Marking,Pavement Marking Misc.
716-08.03,REMOVAL OF PAVEMENT MARKING (CROSS-WALK),L.F.,REMOVAL OF PAVEMENT MARKING (CROSS-WALK),Pavement Marking,Pavement Marking Misc.
716-08.04,REMOVAL OF PAVEMENT MARKING (CHANNELIZATION STRIPING),S.Y.,REMOVAL OF PAVEMENT MARKING (CHANNELIZATION STRIPING),Pavement Marking,Pavement Marking Misc.
716-08.05,REMOVAL OF PAVEMENT MARKING (STOP LINE),L.F.,REMOVAL OF PAVEMENT MARKING (STOP LINE),Pavement Marking,Pavement Marking Misc.
716-08.06,REMOVAL OF PAVEMENT MARKING (TURN LANE ARROW),EACH,REMOVAL OF PAVEMENT MARKING (TURN LANE ARROW),Pavement Marking,Pavement Marking Misc.
