Item Number,Item Description,U/M Type,U/M,Item Class,Item Type
716-09.44,"Contrast Pavement Marking 8"" (Tape)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.45,"Contrast Pavement Marking 8"" (Tape)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.56,"Contrast Pvmt Shadow Marking 4"" (Tape)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.57,"Contrast Pvmt Shadow Marking 6"" (Tape)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.58,"Contrast Pvmt Shadow Marking 6"" (Tape)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.60,"Contrast Pvt Shadow Marking 8"" (Tape)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.59,"Contrast Pvt Shadow Marking 8"" (Tape)",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.72,"Wet Reflective Pavememt Marking (4""Line)",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.83,"Contrast Pavement Marking 6""",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.84,"Contrast Pavement Marking 8""",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.85,"Contrast Pavement Marking 4""",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.86,"Contrast Pavement Marking 6""",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.88,"Contrast Pavement Marking 8""",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.89,"Contrast Pavement Marking 12""",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.87,Contrast Pavement Markings Words And Symbols,EACH,Each,Pavement Marking,Plastic-Thermal
716-09.94,"Contrast Pavement Shadow Marking 6""",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.90,"Contrast Pavement Marking 6"" Dotted",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.95,"Contrast Pavement Shadow Marking 8""",L.M.,Linear Mile,Pavement Marking,Plastic-Thermal
716-09.97,"Contrast Pavement Shadow Marking 6""",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-09.98,"Contrast Pavement Shadow Marking 8""",L.F.,Linear Feet,Pavement Marking,Plastic-Thermal
716-10.50,Preformed Plastic Pavement Marking (Interstate Shield),EACH,Each,Pavement Marking,Plastic-Preformed
716-10.07,Preformed Plastic Pavement Marking (Stop Line),L.F.,Linear Feet,Pavement Marking,Plastic-Preformed
716-10.51,Prfrmed Plstc Pvmnt Mrkng (State Shld),EACH,Each,Pavement Marking,Plastic-Preformed
716-10.52,Prfrmed Plstc Pvmnt Mrkng (Us Shld),EACH,Each,Pavement Marking,Plastic-Preformed
